Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Grant,2035,853.4825851,316.6898119,401.6592756,1310.710502,826.5679593,3365.141056
Harney,2035,1309.660113,480.0714578,580.1992767,1637.956108,768.1394869,2274.8528
Hood River,2035,5489.329691,1860.2537,3068.351327,9318.215405,3949.504146,6851.948315
Jackson,2035,36454,12609,25355,76912,32521,77188.95768
Jefferson,2035,4592.527737,1550.901514,2461.748743,7481.755679,3652.82641,8233.70537
Josephine,2035,13197,4702,8153,26389,11884,31364.52872
Klamath,2035,10508.09193,3571.551452,6948.980066,21059.33347,9409.815217,20665.81465
Lake,2035,1070.212459,415.6239752,585.0298194,2292.810882,1296.238438,3067.807319
Lane,2035,59611.56128,27421.34853,60814.18644,118530.8941,48669.1461,113768.5107
Lincoln,2035,6788.908645,2431.202401,4836.891532,14953.34053,7117.067832,16834.71423
Linn,2035,24367,8203,14303,40763,15016,29504.45346
Malheur,2035,6399.475566,2107.543863,3967.320875,9185.340561,3342.250344,6961.807106
Marion,2035,82674,27691,51267,122095,43976,81720.21959
Morrow,2035,2943.272859,976.1566958,1410.689649,3583.108148,1634.68578,3134.281353
Multnomah,2035,156253.5266,52812.13211,146813.4735,355544.848,122555.4616,201953.5147
Polk,2035,20031.23502,7830.841846,13661.8383,32166.03801,11424.07407,20102.76798
Sherman,2035,274.4234771,104.0382084,130.484969,428.9984513,217.4091887,687.0598904
Tillamook,2035,4357.748011,1537.037622,2441.855644,8096.318999,3833.407598,8612.466751
Umatilla,2035,19762.91181,6462.392817,12103.06134,28753.88952,9816.886231,17866.05516
Union,2035,5177.303494,1989.841878,3962.834543,7564.552032,3167.95412,7775.234269
Wallowa,2035,893.7809987,330.9593396,463.5608145,1556.757834,875.2952848,2978.018663
Wasco,2035,5794.095139,1966.655652,3440.863741,9063.762187,3443.934485,7218.915197
Washington,2035,138188.9322,42927.32233,88586.38841,253205.6941,76359.38091,126992.9865
Wheeler,2035,179.5832725,88.86310211,88.53376833,315.214349,163.7340342,512.9458652
Yamhill,2035,23834.45804,9055.631895,15723.69741,41130.85364,15160.53005,30190.63672
Baker,2040,2729.949295,946.525985,1381.38078,4000.881142,2145.002349,5338.721572
Benton,2040,15220,10783,24263,35575,12878,25300.11376
Clackamas,2040,78252.36124,29103.73687,44180.03984,153867.3954,72082.65606,127068.3556
Clatsop,2040,6374.064715,2287.863863,4068.606778,11566.80371,5653.829758,10830.9129
Columbia,2040,10135.74676,3409.161625,5568.961789,21473.11218,7428.639477,14603.07558
Coos,2040,8992.262301,3301.639516,5661.09784,16949.11336,8780.69634,20463.29519
Crook,2040,2966.699591,1106.386383,1565.986082,6048.499338,3972.302788,8882.98746
Curry,2040,2744.530692,975.1898547,1528.549925,6720.987854,4587.59774,10197.36002
Deschutes,2040,42130.7601,16287.43553,29970.62528,81761.0473,33641.58254,64006.37267
Douglas,2040,18642.03202,6908.191545,11662.76011,38692.48362,20401.83537,40637.60759
Gilliam,2040,404.5693491,124.4754393,141.8861861,348.9745012,295.9916538,890.1148233
Grant,2040,861.3669232,304.2649432,405.243875,1198.041968,897.4265488,3254.645157
Harney,2040,1352.884021,474.1510518,614.621529,1597.749618,815.9283935,2139.949935
Hood River,2040,5677.664142,1953.150306,3155.535947,9589.927503,4232.777325,7435.622405
Jackson,2040,36418,12706,24828,78530,36165,81509.20346
Jefferson,2040,4619.848078,1575.833933,2577.74841,7548.621198,3762.581439,8876.37255
Josephine,2040,13424,4819,8072,27156,13117,32521.31632
Klamath,2040,10111.69651,3471.428701,6724.919394,21007.15321,9579.584177,21268.31501
Lake,2040,1103.870311,400.7336949,605.257821,2178.372046,1427.54196,3154.182526
Lane,2040,60839.42585,28035.91357,62176.75076,121550.0995,51628.67071,118246.8623
