Geo,Year,AutoMeanAge,LtTrkMeanAge
Marion,2045,8.274610161,8.360369944
Morrow,2045,8.354295171,8.325194229
Multnomah,2045,8.276721416,8.326774962
Polk,2045,8.281045752,8.37527288
Sherman,2045,8.616684266,8.45959596
Tillamook,2045,8.237173758,8.390171056
Umatilla,2045,8.311262461,8.366117277
Union,2045,8.333542248,8.279627474
Wallowa,2045,8.107801792,8.227337447
Wasco,2045,8.286225816,8.214386279
Washington,2045,8.285939224,8.365934376
Wheeler,2045,8.332622601,8.514957265
Yamhill,2045,8.285299827,8.400269912
Baker,2050,7.886964207,7.892825112
Benton,2050,7.813169316,7.944049934
Clackamas,2050,7.835802235,7.90471332
Clatsop,2050,7.851602972,7.924468696
Columbia,2050,7.837035714,8.005027044
Coos,2050,7.881747761,7.93834666
Crook,2050,7.878941553,7.959435755
Curry,2050,7.785966051,7.909090909
Deschutes,2050,7.843861163,7.920380082
Douglas,2050,7.847371008,7.956893434
Gilliam,2050,8.015088013,8.291497976
Grant,2050,7.844739093,7.969387755
Harney,2050,7.897371715,7.980400697
Hood River,2050,7.824751536,7.94543667
Jackson,2050,7.848903775,7.898016224
Jefferson,2050,7.89043984,7.921666667
Josephine,2050,7.818312028,7.862931591
Klamath,2050,7.864289476,7.985231865
Lake,2050,7.896135721,7.98731203
Lane,2050,7.842929574,7.915504251
Lincoln,2050,7.833627309,7.893631436
Linn,2050,7.794769976,7.905927754
Malheur,2050,7.928022303,7.937506769
Marion,2050,7.841476289,7.91549656
Morrow,2050,7.880518071,7.919653894
Multnomah,2050,7.840512204,7.917383042
Polk,2050,7.848220546,7.950647815
Sherman,2050,7.79462572,8.092783505
Tillamook,2050,7.876278119,7.930045398
Umatilla,2050,7.84526981,7.947016858
Union,2050,7.858817533,7.878396029
Wallowa,2050,7.73945642,8.045813586
Wasco,2050,7.840160483,7.95665485
Washington,2050,7.841508407,7.90965699
Wheeler,2050,7.891840607,8.21728972
Yamhill,2050,7.818461181,7.959953088
