Geo,Year,MetroLandArea,TownLandArea,RuralAveDensity
Benton,2035,32.51031695,0.605934675,0.2625
Clackamas,2035,94.37766608,17.89916935,0.428125
Clatsop,2035,0,37.13031364,0.0953125
Columbia,2035,0,24.56873406,0.2265625
Coos,2035,0,35.0364702,0.221875
Crook,2035,0,16.37531663,0.0609375
Curry,2035,0,24.88103849,0.1234375
Deschutes,2035,35.74830602,25.9541839,0.25625
Douglas,2035,0,48.00221245,0.2828125
Gilliam,2035,0,5.557015948,0.003125
Grant,2035,0,12.06907551,0.01875
Harney,2035,0,7.032096857,0.2640625
Hood River,2035,0,8.558442018,0.2765625
Jackson,2035,47.68383982,4.050247,0.409375
Jefferson,2035,0,8.11419699,0.3140625
Josephine,2035,18.40383638,2.907482087,0.23125
Klamath,2035,0,41.71822259,0.0875
Lake,2035,0,6.382776108,0.1
Lane,2035,78.35902091,32.47881811,0.25625
Lincoln,2035,0,32.06002624,0.1796875
Linn,2035,29.24702517,26.2863513,0.1609375
Malheur,2035,0,16.83072829,0.1234375
Marion,2035,63.23589826,27.11143409,0.309375
Morrow,2035,0,11.89607357,0.2015625
Multnomah,2035,160.2245543,0,0.221875
Polk,2035,8.2125,16.12376461,0.2390625
Sherman,2035,0,3.451723922,0.0046875
Tillamook,2035,0,11.77690247,0.0640625
Umatilla,2035,0,55.77578953,0.1609375
Union,2035,0,13.17854242,0.3265625
Wallowa,2035,0,4.245119491,0.0609375
Wasco,2035,0,12.99376539,0.340625
Washington,2035,121.129785,3.094846384,0.50625
Wheeler,2035,0,1.588341932,0.0015625
Yamhill,2035,0,31.86079379,0.403125
Baker,2040,0,12.81238473,0.128125
Benton,2040,32.68173289,0.615723043,0.2625
Clackamas,2040,95.01727245,18.27497979,0.428125
Clatsop,2040,0,37.27664359,0.0953125
Columbia,2040,0,24.98591124,0.2265625
Coos,2040,0,34.98621185,0.221875
Crook,2040,0,16.60308845,0.0609375
Curry,2040,0,25.05121882,0.1234375
Deschutes,2040,36.29993448,27.1145152,0.25625
Douglas,2040,0,48.86429525,0.2828125
Gilliam,2040,0,5.609911841,0.003125
Grant,2040,0,11.94140044,0.01875
Harney,2040,0,7.00509063,0.2640625
Hood River,2040,0,8.796362894,0.2765625
Jackson,2040,47.9773036,4.127755563,0.409375
Jefferson,2040,0,8.271999967,0.3140625
Josephine,2040,18.51865456,2.964125922,0.23125
